Base,Media_F1,Selecionada
PCA_075_HOG_256_32x32 (86 atrib.),0.6997,SIM
PCA_075_HOG_128_16x16 (105 atrib.),0.68295,SIM
PCA_090_HOG_256_32x32 (175 atrib.),0.6724,SIM
HOG_128_32x32 (324 atrib.),0.66895,SIM
LBP_256_12R (98 atrib.),0.6546000000000001,SIM
HOG_256_32x32 (1764 atrib.),0.64995,SIM
PCA_090_HOG_128_16x16 (210 atrib.),0.6476500000000001,SIM
LBP_256_3R (26 atrib.),0.6388,SIM
PCA_075_HOG_256_16x16 (199 atrib.),0.637,SIM
HOG_128_16x16 (1764 atrib.),0.6365000000000001,SIM
LBP_256_6R (50 atrib.),0.62735,SIM
PCA_075_HOG_256_8x8 (320 atrib.),0.62705,SIM
PCA_090_HOG_256_16x16 (363 atrib.),0.62205,NÃO
PCA_075_HOG_128_8x8 (240 atrib.),0.6151,NÃO
HOG_256_16x16 (8100 atrib.),0.61145,NÃO
HOG_128_8x8 (8100 atrib.),0.6001000000000001,NÃO
PCA_090_HOG_128_8x8 (408 atrib.),0.5932999999999999,NÃO
HOG_256_8x8 (34596 atrib.),0.5911500000000001,NÃO
PCA_090_HOG_256_8x8 (487 atrib.),0.5773,NÃO
