#,Base,Treinamento/Teste,Conf. 01,Conf. 02,Conf. 03,Conf. 04,Conf. 05,Conf. 06,Conf. 07,Conf. 08,Conf. 09,Conf. 10
1,HOG_128_16x16 (1764 atributos),10-fold CV,0.6719,0.6719,0.6719,0.6719,0.6719,0.6832,0.6862,0.6862,0.6862,0.6983
,,70/30,0.7346,0.7346,0.7346,0.7346,0.7346,0.7319,0.7319,0.7319,0.7319,0.7313
2,HOG_128_32x32 (324 atributos),10-fold CV,0.6129,0.6129,0.6129,0.6129,0.6129,0.7103,0.6996,0.6996,0.7096,0.7011
,,70/30,0.7296,0.7296,0.7296,0.7296,0.7296,0.7243,0.7243,0.7243,0.7238,0.7227
3,HOG_256_32x32 (1764 atributos),10-fold CV,0.6971,0.6971,0.6971,0.6971,0.6971,0.6936,0.6936,0.6936,0.6936,0.6936
,,70/30,0.7468,0.7468,0.7468,0.7468,0.7468,0.7455,0.7455,0.7455,0.7455,0.7455
4,LBP_256_3R (26 atributos),10-fold CV,0.6628,0.6628,0.6628,0.6628,0.6628,0.6611,0.6611,0.6611,0.6611,0.6611
,,70/30,0.6893,0.6893,0.6893,0.6893,0.6893,0.6835,0.6835,0.6835,0.6835,0.6835
5,LBP_256_6R (50 atributos),10-fold CV,0.6876,0.6876,0.6876,0.6876,0.6876,0.715,0.715,0.715,0.715,0.715
,,70/30,0.7001,0.7001,0.7001,0.7001,0.7001,0.6958,0.6958,0.6958,0.6958,0.6958
6,LBP_256_12R (98 atributos),10-fold CV,0.7127,0.7127,0.7127,0.7127,0.7127,0.7087,0.7087,0.7087,0.7087,0.7087
,,70/30,0.6933,0.6933,0.6933,0.6933,0.6933,0.6911,0.6911,0.6911,0.6911,0.6911
7,PCA_075_HOG_128_16x16 (105 atributos),10-fold CV,0.6926,0.6926,0.6926,0.6926,0.6956,0.6856,0.6856,0.6856,0.6856,0.6856
,,70/30,0.74,0.74,0.74,0.74,0.7353,0.7272,0.7272,0.7272,0.7272,0.7272
8,PCA_075_HOG_256_8x8 (320 atributos),10-fold CV,0.7041,0.7041,0.7041,0.7041,0.7041,0.6951,0.6984,0.6984,0.701,0.701
,,70/30,0.7597,0.7597,0.7597,0.7597,0.7597,0.7533,0.7533,0.7533,0.7486,0.7486
9,PCA_075_HOG_256_16x16 (199 atributos),10-fold CV,0.7158,0.7158,0.7158,0.7158,0.7158,0.7128,0.711,0.711,0.711,0.711
,,70/30,0.7448,0.7448,0.7448,0.7448,0.7448,0.7431,0.7431,0.7431,0.7431,0.7431
10,PCA_075_HOG_256_32x32 (86 atributos),10-fold CV,0.7117,0.7117,0.7117,0.7117,0.7117,0.6991,0.6991,0.6991,0.6991,0.6991
,,70/30,0.7495,0.7495,0.7495,0.7495,0.7495,0.7375,0.7375,0.7375,0.7375,0.7375
11,PCA_090_HOG_128_16x16 (210 atributos),10-fold CV,0.7005,0.7072,0.7072,0.7072,0.7072,0.7072,0.7023,0.7023,0.7023,0.7023
,,70/30,0.7524,0.7474,0.7474,0.7474,0.7474,0.7474,0.742,0.742,0.742,0.742
12,PCA_090_HOG_256_32x32 (175 atributos),10-fold CV,0.7227,0.7227,0.7227,0.7227,0.7227,0.7093,0.7275,0.7027,0.7027,0.7161
,,70/30,0.7448,0.7448,0.7448,0.7448,0.7448,0.7308,0.7296,0.7284,0.7284,0.7261
#,Média (10-fold CV) =>,,0.691,0.6916,0.6916,0.6916,0.6918,0.6984,0.699,0.6969,0.698,0.6994
#,Desv. Pad. (10-fold CV) =>,,0.0303,0.0305,0.0305,0.0305,0.0306,0.0158,0.0169,0.0144,0.0149,0.0149
#,Média (70/30) =>,,0.7321,0.7317,0.7317,0.7317,0.7313,0.726,0.7254,0.7253,0.7249,0.7245
#,Desv. Pad. (70/30) =>,,0.0242,0.0239,0.0239,0.0239,0.0238,0.0234,0.0229,0.0229,0.0224,0.0224
