#,Base,Treino/Teste,gini(10),gini(20),gini(30),gini(100),entropy(10),entropy(20),entropy(30),entropy(100)
1,PCA_075_HOG_256_32x32 (86 atrib.),10-fold CV,0.6392,0.6627,0.6639,0.6557,0.6254,0.6831,0.6844,0.6536
,,70/30,0.6611,0.6475,0.6034,0.6295,0.6121,0.6613,0.6782,0.6712
2,PCA_075_HOG_128_16x16 (105 atrib.),10-fold CV,0.6117,0.6518,0.636,0.6552,0.633,0.6281,0.6116,0.6197
,,70/30,0.6133,0.6483,0.5944,0.6432,0.6416,0.6538,0.6597,0.6306
3,PCA_090_HOG_256_32x32 (175 atrib.),10-fold CV,0.6405,0.6433,0.6399,0.6409,0.6035,0.6293,0.6223,0.6257
,,70/30,0.6244,0.6092,0.6202,0.6419,0.642,0.6668,0.6395,0.625
4,HOG_128_32x32 (324 atrib.),10-fold CV,0.6594,0.6882,0.6846,0.6771,0.6452,0.6767,0.6473,0.6808
,,70/30,0.6687,0.6896,0.665,0.7269,0.6699,0.7148,0.7002,0.6813
5,LBP_256_12R (98 atrib.),10-fold CV,0.6727,0.675,0.6762,0.6825,0.6321,0.6663,0.66,0.6806
,,70/30,0.6228,0.6012,0.6414,0.6405,0.6613,0.628,0.6239,0.6584
6,HOG_256_32x32 (1764 atrib.),10-fold CV,0.6616,0.6922,0.7091,0.7185,0.6868,0.7034,0.7148,0.7029
,,70/30,0.7043,0.7435,0.7243,0.7334,0.6683,0.7272,0.7134,0.7103
7,PCA_090_HOG_128_16x16 (210 atrib.),10-fold CV,0.6058,0.608,0.595,0.5832,0.5958,0.6174,0.6138,0.5843
,,70/30,0.6625,0.6287,0.6118,0.6003,0.6281,0.6536,0.6222,0.6244
8,LBP_256_3R (26 atrib.),10-fold CV,0.6532,0.6608,0.6568,0.6817,0.6499,0.6781,0.684,0.6865
,,70/30,0.612,0.6283,0.6404,0.6306,0.6472,0.6524,0.63,0.6138
9,PCA_075_HOG_256_16x16 (199 atrib.),10-fold CV,0.626,0.6821,0.6764,0.6366,0.6375,0.6547,0.6533,0.6248
,,70/30,0.6021,0.6074,0.6413,0.6584,0.6006,0.6245,0.6222,0.5903
10,HOG_128_16x16 (1764 atrib.),10-fold CV,0.6613,0.6718,0.6848,0.6974,0.6834,0.6829,0.6905,0.6916
,,70/30,0.703,0.6896,0.7001,0.661,0.6768,0.688,0.6606,0.6801
11,LBP_256_6R (50 atrib.),10-fold CV,0.6524,0.6395,0.6612,0.6989,0.6839,0.673,0.6831,0.6902
,,70/30,0.6255,0.6475,0.6606,0.6457,0.6358,0.658,0.6587,0.639
12,PCA_075_HOG_256_8x8 (320 atrib.),10-fold CV,0.5721,0.6167,0.6357,0.6091,0.5965,0.6132,0.6299,0.5971
,,70/30,0.5797,0.6109,0.5926,0.5903,0.5647,0.6183,0.6072,0.5786
#,Media =>,,0.638,0.6577,0.66,0.6614,0.6394,0.6589,0.6579,0.6532
#,Desv. Pad. =>,,0.0293,0.0269,0.0301,0.0393,0.0325,0.0297,0.0338,0.041
