#,Base,Treino/Teste,Clf(5),Clf(10),Clf(15),Clf(20)
1,PCA_075_HOG_256_32x32 (86 atrib.),10-fold CV,0.6754,0.716,0.7094,0.7129
,,70/30,0.691,0.6757,0.6925,0.6907
2,PCA_075_HOG_128_16x16 (105 atrib.),10-fold CV,0.6541,0.6864,0.6755,0.6876
,,70/30,0.6632,0.6606,0.6802,0.6939
3,PCA_090_HOG_256_32x32 (175 atrib.),10-fold CV,0.6234,0.675,0.6936,0.6839
,,70/30,0.6712,0.639,0.7016,0.6845
4,HOG_128_32x32 (324 atrib.),10-fold CV,0.6407,0.6616,0.6978,0.7022
,,70/30,0.6204,0.6657,0.7166,0.7212
5,LBP_256_12R (98 atrib.),10-fold CV,0.6618,0.6496,0.6361,0.6302
,,70/30,0.6405,0.6685,0.6114,0.613
6,HOG_256_32x32 (1764 atrib.),10-fold CV,0.6278,0.6637,0.7084,0.7117
,,70/30,0.6093,0.6631,0.7001,0.6986
7,PCA_090_HOG_128_16x16 (210 atrib.),10-fold CV,0.6196,0.6502,0.6636,0.6743
,,70/30,0.617,0.6256,0.6717,0.6717
8,LBP_256_3R (26 atrib.),10-fold CV,0.6482,0.6495,0.6625,0.6639
,,70/30,0.6358,0.617,0.6095,0.6095
9,PCA_075_HOG_256_16x16 (199 atrib.),10-fold CV,0.6293,0.6491,0.6626,0.6807
,,70/30,0.5806,0.6586,0.6608,0.6784
10,HOG_128_16x16 (1764 atrib.),10-fold CV,0.6255,0.655,0.7072,0.71
,,70/30,0.617,0.6516,0.6925,0.6896
11,LBP_256_6R (50 atrib.),10-fold CV,0.6101,0.6519,0.6607,0.6462
,,70/30,0.5599,0.6438,0.5742,0.5524
12,PCA_075_HOG_256_8x8 (320 atrib.),10-fold CV,0.596,0.6172,0.6449,0.6602
,,70/30,0.5125,0.5853,0.674,0.6718
#,Media =>,,0.6343,0.6604,0.6769,0.6803
#,Desv. Pad. =>,,0.0226,0.0242,0.0256,0.0267
